,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu8106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8108,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,31,32,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Zotu8109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu811,0,0,0,5,2,0,0,0,0,0,0,0,10,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,2,0,6,0,0,1
Zotu8112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8117,1,0,9,0,0,0,4,1,12,0,0,3,3,1,3,9,6,3,1,0,4,0,0,1,1,1,2,17,1,2,2,1,63,1,0,8
Zotu8118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0
Zotu8120,75,9,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,5,0,0,3,4,4,0,0,0,0,0,0,0,0,0
Zotu8121,10,6,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,2,2,5,0,0,0,0,0,0,0,0,0
Zotu8122,2,2,0,1,1,1,0,2,0,5,1,3,0,0,0,0,1,0,0,0,0,0,1,4,4,0,1,1,0,0,0,0,2,3,0,0
Zotu8123,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1
Zotu8124,4,2,4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,15,0,0,2,0,4,1,0,0,1
Zotu8125,1,0,0,2,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,2,0,1,1,0,0,0
Zotu8126,6,0,3,20,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0
Zotu8127,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8128,9,2,0,2,1,2,0,0,0,0,0,0,17,1,0,2,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0
Zotu8129,1,0,1,0,0,0,0,0,0,0,0,0,17,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Zotu813,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8130,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,27,0,0,0,0,0,4,2,1,0,0,0,8,0,0,0,3,0,7
Zotu8131,4,0,0,2,3,1,0,0,0,0,0,0,3,1,0,8,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,3
Zotu8132,1,37,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,6,1,7,0,0,0,0,2,0,0,0,0
Zotu8133,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0
Zotu8134,2,0,1,15,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,0,1,0,1
Zotu8135,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8136,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,1,2,8,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
Zotu8137,3,3,1,2,0,0,1,0,1,0,3,4,0,0,0,0,0,0,0,1,6,0,0,0,5,3,14,0,2,0,0,2,2,0,0,4
Zotu8138,0,0,0,0,2,0,0,0,0,0,0,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Zotu8139,0,0,3,1,0,1,0,0,0,1,0,0,0,0,7,3,0,32,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
