,DLSm01,DLSm02,DLSm03,DLSs01,DLSs02,DLSs03,DPSm01,DPSm02,DPSm03,DPSs202001,DPSs202002,DPSs202003,HLm01,HLm02,HLm03,HLs202001,HLs202002,HLs202003,SLTm01,SLTm02,SLTm03,SLTs202001,SLTs202002,SLTs202003,SLm01,SLm02,SLm03,SLs01,SLs02,SLs03,XSm01,XSm02,XSm03,XSs202001,XSs202002,XsSs202003
Zotu4442,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1,1,6,2,1
Zotu4443,0,0,0,0,0,7,8,6,4,0,0,0,0,1,1,0,0,0,2,27,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Zotu4446,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Zotu4447,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu4448,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu4449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Zotu445,0,0,0,0,0,0,10,16,20,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,14,2,16,0,0,0,0,0,0
Zotu4450,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0
Zotu4451,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,7,14,0,0,0,5,0,10,0,0,0,0,3,2
Zotu4452,0,0,0,1,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,56,2,3,0,0,0,0,0,0
Zotu4453,0,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0
Zotu4454,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0
Zotu4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0
Zotu4458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,2
Zotu446,52,215,148,1,0,5,18,70,17,1,3,6,28,33,64,1,8,7,6,128,56,6,0,0,155,28,64,0,5,0,59,49,25,0,0,1
Zotu4460,36,3,0,0,0,2,2,8,1,0,0,0,2,1,0,0,0,0,0,28,43,0,0,0,5,5,4,1,0,0,0,0,0,0,0,0
Zotu4461,4,0,0,0,0,0,0,0,0,0,0,0,55,2,1,13,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,5,2,1,0,0
Zotu4462,0,2,0,2,0,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,3,2,0,4,0,0,3,0,0,1
Zotu4463,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Zotu4464,1,4,2,0,0,0,0,0,1,0,1,0,2,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu4465,2,0,4,0,17,0,0,1,31,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1
