,DLSs01,DLSs02,DLSs03,DLSse01,DLSse02,DLSse03,DPSs202001,DPSs202002,DPSs202003,DPSse01,DPSse02,DPSse03,HLs202001,HLs202002,HLs202003,HLse01,HLse02,HLse03,SLTs202001,SLTs202002,SLTs202003,SLTse01,SLTse02,SLTse03,SLs01,SLs02,SLs03,SLse01,SLse02,SLse03,XSs202001,XSs202002,XSse01,XSse02,XSse03,XsSs202003
Zotu10102,5,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Zotu10103,8,1,14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0
Zotu10104,3,33,33,0,0,1,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,1,0,0,0,2,7,0,0,0,3
Zotu10105,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
Zotu10106,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Zotu10107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,0,0,2,0,0,1,0,0,0
Zotu10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Zotu10109,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Zotu1011,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,40,0,4,6,0,0,0,0,0,0,0
Zotu10110,13,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
Zotu10111,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10112,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
