,DLSs01,DLSs02,DLSs03,DLSw202001,DLSw202002,DLSw202003,DPSs202001,DPSs202002,DPSs202003,DPSw202001,DPSw202002,DPSw202003,HLs202001,HLs202002,HLs202003,HLw202001,HLw202002,HLw202003,SLTs202001,SLTs202002,SLTs202003,SLTw202001,SLTw202002,SLTw202003,SLs01,SLs02,SLs03,SLw202001,SLw202002,SLw202003,XSs202001,XSs202002,XSw202001,XSw202002,XSw202003,XsSs202003
Zotu9275,0,0,0,0,0,2,1,0,0,1,1,0,0,2,4,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,6,5,0
Zotu9276,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,1,0,5,0,0,0,6,2,1,0,0,0,0,2,1,0,0,5
Zotu9277,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0
Zotu9278,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,2,4,0,4,0,2
Zotu9279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8
Zotu928,0,0,0,49,1,0,1,13,10,0,1,4,0,24,0,22,30,59,0,0,0,20,22,0,0,0,0,159,179,254,10,21,0,0,6,27
Zotu9280,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,4
Zotu9281,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu9284,1,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3
Zotu9285,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9287,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,1
Zotu9288,0,0,0,0,1,0,0,0,0,1,0,0,11,2,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,1,2,2,1,0,4
Zotu9289,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,7,4,7,0,0,0,0,0,0,0,0,1
Zotu929,0,0,0,18,10,11,10,8,2,27,32,27,0,23,22,44,20,38,0,6,4,18,24,17,0,0,1,20,36,21,8,10,33,34,35,3
Zotu9290,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,2,1,0,13,3,0,0,0,0,0,0,0,0,0,3,3,0,0,1,4
Zotu9291,0,0,0,1,0,0,0,0,1,0,0,0,6,0,3,1,0,0,4,0,1,0,0,5,0,0,0,0,0,2,0,3,0,0,2,3
Zotu9292,10,1,3,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,5,6,0,0,0,0,0,0,0,0,2
Zotu9293,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,5,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Zotu9294,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,2,0,0
Zotu9295,0,0,0,1,1,0,0,2,0,1,0,0,0,4,4,11,3,9,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,4,3,0
Zotu9296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
Zotu9297,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu9299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu93,0,0,0,8,5,168,5,7,6,4,161,0,428,0,2,1,6,210,66,523,4507,3,1,5,2,3,0,0,2,0,192,311,2,126,0,286
Zotu930,0,0,0,2,0,0,0,0,0,0,0,11,0,3,0,0,0,1,0,0,0,1,2,0,0,0,2,0,3,27,0,0,0,0,0,1
Zotu9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Zotu9301,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0
Zotu9303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,11,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
Zotu9304,0,0,0,0,0,0,0,0,0,1,0,0,3,8,0,0,2,0,0,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu9305,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,3,1,7,0,0,0,3,3,0,0,0,1
Zotu9306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,17,0,0,0,0,0,0,0,0,0
Zotu9307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,2
