,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu4754,0,0,2,0,0,0,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
Zotu4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu4756,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,103,12,1,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0
Zotu4758,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,21,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,5
Zotu476,29,0,0,20,19,22,1,29,0,0,23,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,10,27,17,0,0,0,0,48,40
Zotu4760,0,10,2,0,0,0,1,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,3,1,0,26,0,0,0,0,2,1,4,0,0,0
Zotu4761,3,3,3,0,5,0,0,4,0,1,0,0,0,10,4,0,0,0,0,0,1,0,4,0,4,2,6,5,0,2,14,0,4,3,1,0
Zotu4763,4,1,19,1,1,0,9,24,4,0,1,0,4,3,11,1,0,1,0,0,0,0,0,1,2,3,10,0,0,0,2,2,3,0,3,0
Zotu4764,0,3,4,0,0,2,0,1,0,1,0,0,3,3,1,0,0,1,5,1,0,0,1,0,4,8,2,1,0,0,7,0,3,4,0,0
Zotu4765,0,0,0,0,1,0,0,0,2,5,3,4,1,2,0,0,0,0,0,0,0,8,10,3,2,0,2,1,0,0,3,0,0,0,0,0
Zotu4767,0,0,0,3,58,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,5,0,4,0,1,0,0,1,0,3,0,0,0,0,0,0
Zotu4769,0,3,0,0,0,0,0,4,0,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,2,7,42,1,0,0
Zotu477,14,75,44,44,247,71,1,6,3,13,1,24,47,89,22,143,6,53,0,135,82,25,42,12,55,9,29,40,20,81,33,57,33,42,48,73
Zotu4770,2,0,0,2,2,2,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,2,1
Zotu4771,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0
Zotu4772,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,2,0
