SpeciesID	DLSm01	DLSm02	DLSm03	DLSs01	DLSs02	DLSs03	DLSse01	DLSse02	DLSse03	DLSt01	DLSt02	DLSt03	DLSw202001	DLSw202002	DLSw202003	DPSm01	DPSm02	DPSm03	DPSs202001	DPSs202002	DPSs202003	DPSse01	DPSse02	DPSse03	DPSt01	DPSt02	DPSt03	DPSw202001	DPSw202002	DPSw202003	HLm01	HLm02	HLm03	HLs202001	HLs202002	HLs202003	HLse01	HLse02	HLse03	HLt01	HLt02	HLt03	HLw202001	HLw202002	HLw202003	SLTm01	SLTm02	SLTm03	SLTs202001	SLTs202002	SLTs202003	SLTse01	SLTse02	SLTse03	SLTt01	SLTt02	SLTt03	SLTw202001	SLTw202002	SLTw202003	SLm01	SLm02	SLm03	SLs01	SLs02	SLs03	SLse01	SLse02	SLse03	SLt01	SLt02	SLt03	SLw202001	SLw202002	SLw202003	XSm01	XSm02	XSm03	XSs202001	XSs202002	XSse01	XSse02	XSse03	XSt01	XSt02	XSt03	XSw202001	XSw202002	XSw202003	XsSs202003
Zotu10038	1	0	0	4	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	13	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1
Zotu10039	2	0	0	1	0	6	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	3	1	1	0	7
Zotu1004	0	0	0	2	0	0	163	19	42	0	0	0	20	12	23	0	0	0	3	7	3	0	0	0	0	0	0	1	3	0	0	0	0	4	0	3	5	7	2	0	0	0	0	3	2	3	2	0	2	1	0	2	0	1	0	0	0	0	0	4	0	0	0	0	0	0	2	2	3	0	1	0	4	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Zotu10040	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10041	1	0	0	0	1	0	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	46	1	1	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	1	0	0
Zotu10042	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	1	3	0	0	0	0
Zotu10043	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10044	7	21	5	0	0	1	0	0	0	1	2	2	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	1	0	0	0	1	1	0	0	0	0	1	12	12	0	0	0	0	2	0	1	0	0	0	0	0	8	2	9	0	0	1	0	0	0	0	1	2	0	0	0	8	9	2	0	0	0	1	0	0	0	1	0	0	0	0
Zotu10045	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0
Zotu10046	8	3	1	0	0	0	0	0	0	5	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	31	2	2	0	2	0	0	0	0	1	0	0	0	0	0	6	4	3	0	0	0	0	0	1	0	0	0	0	0	0
