,DLSse01,DLSse02,DLSse03,DPSse01,DPSse02,DPSse03,HLse01,HLse02,HLse03,SLTse01,SLTse02,SLTse03,SLse01,SLse02,SLse03,XSse01,XSse02,XSse03
otu1329,2,0,0,3,6,2,6,1,0,2,1,0,2,0,2,4,1,1
otu13290,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
otu13291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
otu13299,3,2,0,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0
otu133,0,0,0,41,44,81,0,0,0,17,14,23,9,0,12,5,10,9
otu1330,9,6,9,12,1,23,0,0,0,3,1,2,68,39,55,7,0,24
otu13308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
otu1331,0,0,0,7,0,0,0,0,0,0,14,647,0,0,0,0,0,0
otu13311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1332,18,12,1,0,2,1,114,42,13,24,4,0,0,1,4,19,44,46
otu13320,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu13323,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu1333,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
otu13330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu13332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu13336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu13337,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1
otu13339,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu13340,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13341,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu13344,1,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
otu13346,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
otu13348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
otu13349,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0
otu1335,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0
otu13351,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
otu13352,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,2
otu13354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu13355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1336,0,0,0,1,3,9,0,0,0,2,2,2,0,0,1,0,0,1
otu13366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1337,5,2,0,9,1,1,1,3,2,4,3,1,5,0,4,6,11,4
otu13373,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0
otu1338,0,1,6,1,13,16,14,16,10,9,5,25,0,0,7,22,116,73
otu13383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
otu13384,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
otu13387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1339,1,0,0,0,1,0,1,0,0,0,0,1,0,12,1,0,0,0
otu13394,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
otu13395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu134,0,0,0,1,1,9,1,0,1,1,1,5,3,2,0,1,1,4
otu1340,7,6,7,0,13,0,0,0,0,0,0,0,13,40,17,0,14,0
otu13403,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
otu13404,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
otu13408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu13413,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
otu13414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
otu1342,7,1,6,1,0,6,0,4,4,5,3,0,13,7,34,7,1,14
otu13429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1343,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
otu13435,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu1344,5,6,8,1,0,0,7,5,5,7,1,2,2,0,0,3,1,0
otu13446,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
otu1345,1,0,0,2,5,4,1,0,0,1,1,0,1,0,9,1,2,4
otu13453,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu13454,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu13455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu13458,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1
otu13459,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
otu1346,1,1,0,5,1,0,0,0,0,0,0,0,5,14,0,7,1,0
otu13462,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,5,1
otu13463,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
otu13465,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13468,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1
otu13469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1347,17,17,2,0,0,1,7,9,1,12,10,5,0,0,0,0,0,0
otu13471,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu13472,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,1
otu1348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1349,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
otu13492,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0
otu13496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu135,2,1,1,461,3,4,2,2,2,1,2,4,437,1,1,503,0,1
otu1350,0,0,0,1,1,1,0,0,0,1,0,1,0,2,0,0,0,1
otu13507,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4
otu13508,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
otu1351,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
otu13511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu13512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu13516,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
otu1352,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1353,0,1,0,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0
otu13531,0,0,0,0,2,2,0,0,0,18,2,0,0,0,0,0,0,0
otu13534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1354,0,0,0,31,72,58,2,4,2,11,2,16,0,0,0,1,6,3
otu13541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13543,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,5,1
otu13545,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,8
otu1355,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
otu13552,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
otu1356,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
otu13560,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu13567,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu13569,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu1357,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13570,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu13576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu13578,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1358,1,0,1,59,33,128,0,0,0,20,11,15,5,0,14,8,2,16
otu13582,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu13584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13585,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
otu13587,0,0,0,0,0,0,0,1,0,2,0,0,3,0,1,0,0,0
otu1359,1,0,0,0,2,1,0,0,0,0,0,0,1,0,3,1,3,1
otu13590,0,0,1,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0
otu13593,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0
otu13594,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu136,77,46,53,39,23,70,94,64,62,238,45,40,87,41,141,119,34,58
otu1360,0,0,0,8,0,0,0,0,0,0,0,0,1,15,0,8,0,0
otu13600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1361,1,4,2,1,1,10,4,3,6,0,1,2,3,6,13,3,12,14
otu13613,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
otu1362,0,3,0,1,0,0,0,2,0,2,7,1,1,0,0,2,1,0
otu13623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu13625,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3
otu13627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
otu13628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu13629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu1363,1,0,2,8,0,0,4,0,0,4,0,0,11,0,0,19,0,0
otu13637,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1364,13,0,21,0,0,0,9,0,17,19,0,35,0,0,0,0,0,0
otu13648,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
otu13649,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
otu1365,0,1,5,35,12,37,0,0,10,12,7,226,4,76,17,2,0,2
otu13651,0,2,0,0,0,0,0,11,3,0,0,0,0,0,0,2,3,3
otu13653,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
otu1366,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
otu13660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
otu13663,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
otu13665,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0
otu13666,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
otu13667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1367,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
otu13671,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu13679,0,0,1,1,1,0,0,0,1,0,1,4,0,0,0,1,1,0
otu1368,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
otu13683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
otu13684,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,0,0
otu13685,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,12,1
otu13687,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0
otu13689,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,11
otu1369,0,0,1,0,5,0,0,0,1,0,0,0,0,5,0,0,4,0
otu13690,1,0,0,1,0,4,0,0,0,0,0,0,12,2,21,0,0,2
otu13692,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13693,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu13694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu137,3,1,4,20,16,4,1,1,1,0,2,1,56,40,8,34,22,3
otu13702,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13703,1,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0
otu1371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
otu13717,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu13718,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu1372,3,11,3,0,0,0,48,85,27,0,1,1,0,0,0,7,9,11
otu1373,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
otu13733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13734,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13735,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu13738,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1374,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu13743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
otu13744,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu13745,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu13746,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu1375,27,0,0,30,26,40,15,3,0,296,23,14,0,0,0,2,1,0
otu13754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13755,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0
otu1376,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1377,0,2,17,0,1,0,0,0,9,1,1,29,1,0,0,1,0,1
otu13776,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1378,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,5,5
otu13789,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
otu1379,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,11,1,0
otu13792,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu13794,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu138,2,2,2,10,10,0,0,0,0,0,0,0,13,125,2,9,5,1
otu1380,7,2,8,0,0,0,3,2,5,4,3,6,0,0,0,0,0,0
otu13802,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13804,0,0,0,0,6,10,0,0,0,0,12,0,0,0,0,0,0,0
otu1381,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
otu13814,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,1
otu13815,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
otu13816,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
otu1382,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
otu13821,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0
otu13822,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0
otu13825,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
otu1383,2,2,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,3
otu13835,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
otu13837,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
otu13839,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1
otu1384,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu13841,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu13844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu13845,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1385,1,2,1,1,0,0,1,4,1,0,1,1,0,5,0,0,9,2
otu13851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu1386,1,0,12,27,20,32,5,1,29,15,3,342,0,4,1,3,2,4
otu13864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu13868,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1387,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,4,3
otu13871,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu13874,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
otu13877,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
otu13878,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
otu1388,0,0,0,4,1,0,0,0,0,0,0,0,11,0,0,6,0,0
otu13881,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0
otu13883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu13886,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
otu13887,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
otu13888,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1389,8,21,1,0,0,0,64,226,31,2,7,1,0,0,0,13,12,12
otu13890,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu13893,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu13897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
otu139,53,42,42,0,35,0,0,10,1,0,3,0,21,245,20,1,76,0
otu1390,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
otu13900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu1391,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0
otu13912,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
otu1392,0,0,0,2,0,0,0,0,1,0,0,0,0,9,0,1,0,0
otu1393,5,6,3,2,2,0,0,1,0,0,0,0,2,36,9,1,4,0
otu13930,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu13945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
otu13946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
otu13948,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0
otu13949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
otu1395,8,0,24,0,2,3,7,1,9,7,0,58,0,2,0,2,20,2
otu13951,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
otu13952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
otu13953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
otu13954,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,9
otu13956,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
otu1396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1398,1,0,0,1,2,1,0,0,0,0,0,0,0,6,1,3,2,1
otu13989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1399,2,11,5,4,3,22,5,4,10,4,2,2,28,17,86,5,6,15
otu14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1
otu140,0,0,9,3,5,6,2,1,6,0,2,9,5,44,11,9,5,2
otu1400,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
otu14004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14009,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1401,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
otu14011,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14012,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu14015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu14018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1402,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,3
otu14021,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu14023,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu14026,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu14027,0,4,2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0
otu1403,0,0,12,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0
otu14033,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
otu14034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu1404,8,9,10,2,0,12,0,1,2,0,0,0,97,20,101,7,0,15
otu1405,0,0,0,4,3,2,0,0,0,0,0,0,18,2,1,11,3,0
otu14054,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu14058,0,0,0,1,1,2,0,0,0,0,0,1,1,0,1,0,0,1
otu14059,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1406,0,2,3,0,0,0,1,2,1,2,0,2,0,0,0,0,0,0
otu14063,0,0,0,9,0,0,0,0,0,1,0,0,5,0,0,0,0,0
otu14064,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14067,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
otu14068,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,3,0
otu1407,0,0,0,3,2,0,1,0,0,0,0,0,3,0,1,8,0,0
otu14070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
otu1408,4,2,4,4,2,6,7,6,6,2,4,36,5,1,0,2,12,5
otu14083,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0
otu14084,0,1,0,0,0,0,1,8,1,0,0,0,0,0,0,2,0,2
otu1409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14090,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14094,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
otu14096,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
otu141,91,84,157,209,84,520,25,13,21,21,8,45,1092,364,1087,212,81,529
otu1410,0,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0,0,0
otu14108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
otu1411,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0
otu14111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
otu14113,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu14122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
otu14127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1413,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
otu14131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu14134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu14135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu14139,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
otu1414,3,5,3,0,3,0,0,0,0,0,0,0,9,88,5,0,9,0
otu14140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu14145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
otu1415,8,4,5,0,4,0,0,0,0,0,0,0,13,28,6,0,4,0
otu14153,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
otu14156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu14157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1416,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2
otu14161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu14162,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0
otu14163,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu14164,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu14165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu14170,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu14173,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
otu14174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu1418,0,0,0,1,1,2,2,0,0,2,0,0,1,12,0,0,0,0
otu142,8,0,1,88,13,20,1,2,1,2,0,1,162,58,28,77,14,10
otu1420,0,0,0,38,0,0,0,0,1,0,0,0,57,0,0,35,0,0
otu14204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1421,8,10,5,0,1,1,2,21,9,3,7,5,1,0,0,0,0,1
otu14212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
otu1422,0,0,28,26,23,21,0,1,11,17,13,270,0,0,0,4,30,4
otu14223,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
otu1423,0,1,0,0,3,0,0,1,0,2,1,0,0,7,0,1,1,1
otu14233,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0
otu1424,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0
otu14241,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
otu14245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1425,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1426,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
otu14264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu14267,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu1427,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0
otu1428,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
otu14282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu14288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1429,0,0,0,15,18,28,0,2,1,4,6,5,0,0,1,3,2,2
otu14296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu14299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu143,7,8,49,31,80,77,377,459,391,41,21,282,35,15,159,211,2397,1037
otu1430,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,2,0,0
otu14304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu14305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1431,10,2,5,0,0,0,83,23,47,15,0,12,0,0,0,13,23,16
